id,created_time,creator_id,modified_time,modifier_id,is_deleted,dict_type,dict_name,remark,status,order_num
1,2022-11-13 02:49:40.000000,0,2022-11-13 02:49:40.000000,0,0,permission_user_sex,用户性别,(0: 未知; 1: 男; 2: 女),0,1
2,2022-11-13 02:49:40.000000,0,2022-11-13 02:49:40.000000,0,0,com_default_status,通用状态字典,(0: 正常; 1: 停用),0,2
3,2022-11-13 02:49:40.000000,0,2023-12-02 15:40:02.000000,1,0,permission_user_status,用户状态,,0,1
4,2023-12-04 19:53:00.000000,1,2023-12-04 19:57:21.000000,1,0,hiker_rule_data_type,海阔视界规则数据类型,"[('home_rule_url', '首页云规则'), ('publish', '提交云仓库'), ('js_url', '网页插件'),('html','静态页面'),('config','主页配置')]",0,3
5,2023-12-10 16:20:45.000000,1,2023-12-10 16:20:45.000000,0,0,sys_job_group,定时任务分组,,0,4
6,2023-12-10 16:21:01.000000,1,2023-12-10 16:21:01.000000,0,0,sys_job_status,定时任务运行状态,,0,5
7,2024-01-06 12:05:26.000000,1,2024-01-06 12:05:26.000000,0,0,sys_job_run_status,定时任务调度状态,1 正常 0 失败,0,7
9,2024-01-15 15:48:43.862324,1,2024-01-15 15:48:43.862324,0,0,vod_rule_group,hipy源分组,"groups = {
        'hipy': 't4/spiders',
        'drpy_js': 't4/files/drpy_js',
        'json': 't4/files/json',
        'm3u': 't4/files/m3u',
        'txt': 't4/files/txt',
    }",0,8
10,2024-01-15 16:23:43.576457,1,2024-01-15 16:23:43.576457,0,0,vod_rule_status,源状态,1正常 0异常,0,9
11,2024-01-25 14:00:03.613571,1,2024-01-25 14:00:03.613571,0,0,vod_configs_value_type,hipy配置值类型,str:字符串，int:数字,0,11
