id,created_time,creator_id,modified_time,modifier_id,is_deleted,path,component,is_frame,hidden,status,order_num,name,title,icon,no_cache,parent_id
1,2022-07-14 03:56:19.000000,0,2022-07-19 15:40:51.000000,0,0,role,/permission/role/index,False,False,0,3,PermissionRole,角色管理,peoples,True,7
2,2022-07-14 03:56:19.000000,0,2022-07-20 10:25:17.000000,0,0,/system,,False,False,0,2,,系统管理,system,False,0
3,2022-07-14 03:56:19.000000,0,2022-07-19 16:03:40.000000,0,0,menu,/permission/menu/index,False,False,0,2,PermissionMenu,菜单管理,tree-table,False,7
4,2022-07-14 03:56:19.000000,0,2022-07-14 03:56:19.000000,0,0,dict,/system/dict/index,False,False,0,4,SystemDictType,字典管理,dict,False,2
5,2022-07-14 03:56:19.000000,0,2022-07-14 03:56:19.000000,0,0,parameter,/system/parameter/index,False,False,0,3,SystemParameter,参数管理,tree,False,2
6,2022-07-14 03:56:19.000000,0,2022-07-19 16:03:33.000000,0,0,user,/permission/user/index,False,False,0,1,PermissionUser,用户管理,user,False,7
7,2022-07-14 03:56:19.000000,0,2022-07-20 10:25:24.000000,0,0,/permission,,False,False,0,1,,权限管理,monitor,False,0
8,2022-07-14 03:56:19.000000,0,2022-07-14 03:56:19.000000,0,0,dict/detail/:id(\d+),/system/dict/detail/index,False,True,0,1,SystemDictDetail,字典参数,dashboard,False,2
9,2022-10-29 23:57:16.000000,0,2022-10-29 23:57:16.000000,0,0,label,/permission/label/index,False,False,0,4,PermissionLabel,权限标签,icon,True,7
11,2023-12-02 18:06:51.000000,0,2023-12-07 22:10:46.000000,1,0,developer,/hiker/developer/index,False,False,0,1,HikerDeveloper,开发者,peoples,True,10
10,2023-12-02 18:05:43.000000,0,2023-12-02 18:05:43.000000,0,0,/hiker,,False,False,0,3,,海阔视界,international,True,0
12,2023-12-02 23:23:55.000000,1,2023-12-07 22:10:55.000000,1,0,rule_type,/hiker/rule_type/index,False,False,0,2,HikerRuleType,规则类型,component,True,10
13,2023-12-03 19:03:50.000000,1,2023-12-07 22:11:07.000000,1,0,rule,/hiker/rule/index,False,False,0,3,HikerRule,规则,list,True,10
14,2023-12-04 21:49:25.000000,1,2023-12-04 21:49:25.000000,0,0,control_panel,/control_panel/index,False,False,0,4,ControlPanel,控制面板,swagger,True,2
15,2023-12-05 08:49:37.000000,1,2023-12-05 08:50:03.000000,1,0,/tool,,False,False,0,4,,工具,bug,True,0
16,2023-12-05 08:51:06.000000,1,2023-12-05 08:52:00.000000,1,0,swagger,/tool/swagger/index,False,False,0,1,Swagger,swagger,swagger,True,15
17,2023-12-05 09:08:13.000000,1,2023-12-06 22:50:59.000000,1,0,/monitor,,False,False,0,4,,系统监控,monitor,True,0
18,2023-12-05 09:09:57.000000,1,2023-12-07 00:03:28.000000,1,0,job,/monitor/job/index,False,False,0,2,Job,定时任务,time-range,True,17
19,2023-12-05 09:11:12.000000,1,2023-12-07 00:03:23.000000,1,0,server,/monitor/server/index,False,False,0,1,Server,服务监控,server,True,17
20,2023-12-06 22:49:09.000000,1,2023-12-06 22:49:09.000000,0,0,blog,/tool/blog/index,False,False,0,2,Blog,博客,log,True,15
21,2023-12-06 22:53:25.000000,1,2023-12-15 00:17:28.000000,1,0,online,/monitor/online/index,False,True,0,6,Online,在线用户,online,True,17
22,2023-12-06 22:55:02.000000,1,2023-12-15 00:17:17.000000,1,0,cache, /monitor/cache/index,False,True,0,5,,缓存监控,redis,True,17
23,2023-12-06 22:56:00.000000,1,2023-12-15 00:17:23.000000,1,0,cacheList,/monitor/cache/list,False,False,0,5,cacheList,缓存列表,redis-list,True,17
