id,created_time,creator_id,modified_time,modifier_id,is_deleted,label_id,role_id
1,2023-12-06 22:37:39.000000,0,2023-12-06 22:37:39.000000,0,0,,
2,2023-12-16 11:42:53.000000,1,2023-12-16 11:42:53.000000,0,0,1.0,2.0
3,2023-12-16 11:43:03.000000,1,2023-12-16 11:43:03.000000,0,0,2.0,2.0
4,2023-12-16 11:43:17.000000,1,2023-12-16 11:43:17.000000,0,0,3.0,2.0
5,2023-12-16 11:43:50.000000,1,2023-12-16 11:43:50.000000,0,0,18.0,2.0
17,2023-12-16 12:50:26.000000,1,2023-12-16 12:50:26.000000,0,0,7.0,2.0
18,2023-12-16 12:50:30.000000,1,2023-12-16 12:50:30.000000,0,0,8.0,2.0
10,2023-12-16 11:59:31.000000,1,2023-12-16 11:59:31.000000,0,0,26.0,2.0
11,2023-12-16 11:59:41.000000,1,2023-12-16 11:59:41.000000,0,0,40.0,2.0
16,2023-12-16 12:50:23.000000,1,2023-12-16 12:50:23.000000,0,0,6.0,2.0
15,2023-12-16 12:46:21.000000,1,2023-12-16 12:46:21.000000,0,0,16.0,2.0
19,2023-12-17 14:52:03.000000,1,2023-12-17 14:52:03.000000,0,0,52.0,2.0
20,2023-12-17 14:53:44.000000,1,2023-12-17 14:53:44.000000,0,0,51.0,2.0
21,2024-01-25 14:18:14.120617,1,2024-01-25 14:18:14.120617,0,0,60.0,2.0
22,2024-01-25 14:18:20.518550,1,2024-01-25 14:18:20.518550,0,0,61.0,2.0
23,2024-01-25 14:18:28.943150,1,2024-01-25 14:18:28.943150,0,0,62.0,2.0
24,2024-01-25 14:18:34.959602,1,2024-01-25 14:18:34.959602,0,0,63.0,2.0
25,2024-01-25 14:18:39.837577,1,2024-01-25 14:18:39.837577,0,0,64.0,2.0
26,2024-01-25 14:18:43.881502,1,2024-01-25 14:18:43.881502,0,0,65.0,2.0
27,2024-01-25 14:18:48.377718,1,2024-01-25 14:18:48.377718,0,0,67.0,2.0
28,2024-01-25 14:18:52.041284,1,2024-01-25 14:18:52.041284,0,0,68.0,2.0
29,2024-01-25 14:18:59.138266,1,2024-01-25 14:18:59.138266,0,0,66.0,2.0
