id,created_time,creator_id,modified_time,modifier_id,is_deleted,name,group,path,is_exist,order_num,file_type,ext,status,searchable,filterable,quickSearch,active
4,2024-02-01 14:31:22.053370,1,2024-03-29 11:06:03.139626,1,0,base_spider,t4/spiders,t4/spiders/base_spider.py,True,0,.py,,1,1,1,0,False
5,2024-02-01 14:31:22.057740,1,2024-03-29 11:06:03.143360,1,0,cntv央视,t4/spiders,t4/spiders/cntv央视.json,True,9999,.json,,1,0,0,0,True
6,2024-02-01 14:31:22.061431,1,2024-03-29 11:06:03.146513,1,0,cntv央视,t4/spiders,t4/spiders/cntv央视.py,True,0,.py,{{host}}/files/hipy/cntv央视.json,1,1,1,0,True
7,2024-02-01 14:31:22.066253,1,2024-03-29 11:06:03.151905,1,0,test_1,t4/spiders,t4/spiders/test_1.txt,True,9999,.txt,,1,0,0,0,True
8,2024-02-01 14:31:22.069500,1,2024-03-29 11:06:03.155891,1,0,两个BT,t4/spiders,t4/spiders/两个BT.json,True,9999,.json,,1,0,0,0,True
9,2024-02-01 14:31:22.073461,1,2024-03-29 11:06:03.160523,1,0,两个BT,t4/spiders,t4/spiders/两个BT.py,True,9,.py,{{host}}/files/hipy/两个BT.json,1,1,1,0,True
11,2024-02-01 14:31:22.082471,1,2024-03-29 11:06:03.167283,1,0,喵次元,t4/spiders,t4/spiders/喵次元.py,True,11,.py,,1,1,1,0,True
12,2024-02-01 14:31:22.085792,1,2024-03-29 11:06:03.170264,1,0,新浪资源,t4/spiders,t4/spiders/新浪资源.py,True,12,.py,,1,1,1,0,True
13,2024-02-01 14:31:22.089587,1,2024-03-29 11:06:03.173369,1,0,樱花动漫,t4/spiders,t4/spiders/樱花动漫.json,True,9999,.json,,1,0,0,0,True
14,2024-02-01 14:31:22.093364,1,2024-03-29 11:06:03.176761,1,0,樱花动漫,t4/spiders,t4/spiders/樱花动漫.py,True,14,.py,https://jihulab.com/qiaoji/open/-/raw/main/yinghua,1,1,1,0,True
15,2024-02-01 14:31:22.096548,1,2024-03-29 11:06:03.181410,1,0,360影视,t4/files/drpy_js,t4/files/drpy_js/360影视.js,True,15,.js,,1,1,0,0,True
56,2024-02-02 16:38:12.276321,1,2024-03-29 11:06:03.185708,1,0,555影视[飞],t4/files/drpy_js,t4/files/drpy_js/555影视[飞].js,True,56,.js,,1,1,1,0,True
16,2024-02-01 14:31:22.099412,1,2024-03-29 11:06:03.189559,1,0,996影视,t4/files/drpy_js,t4/files/drpy_js/996影视.js,True,16,.js,,1,1,1,0,True
84,2024-03-10 11:18:06.078704,1,2024-03-29 11:06:03.196244,1,0,qimiao,t4/files/drpy_js,t4/files/drpy_js/qimiao.js,True,78,.js,,1,0,0,0,True
17,2024-02-01 14:31:22.102356,1,2024-03-29 11:06:03.199719,1,0,优酷,t4/files/drpy_js,t4/files/drpy_js/优酷.js,True,17,.js,,1,1,1,0,True
55,2024-02-02 16:37:12.679917,1,2024-03-29 11:06:03.203074,1,0,兔小贝,t4/files/drpy_js,t4/files/drpy_js/兔小贝.js,True,55,.js,,1,1,0,0,True
18,2024-02-01 14:31:22.106053,1,2024-03-29 11:06:03.206362,1,0,农民影视,t4/files/drpy_js,t4/files/drpy_js/农民影视.js,True,18,.js,,1,1,1,0,True
19,2024-02-01 14:31:22.109886,1,2024-03-29 11:06:03.214920,1,0,哔哩影视,t4/files/drpy_js,t4/files/drpy_js/哔哩影视.js,True,19,.js,?render=1,1,1,1,0,True
54,2024-02-02 15:59:25.736026,1,2024-03-29 11:06:03.218875,1,0,在线之家,t4/files/drpy_js,t4/files/drpy_js/在线之家.js,True,54,.js,,1,1,1,0,True
20,2024-02-01 14:31:22.113192,1,2024-03-29 11:06:03.223085,1,0,奇珍异兽,t4/files/drpy_js,t4/files/drpy_js/奇珍异兽.js,True,20,.js,,1,1,1,0,True
52,2024-02-01 14:32:51.350356,1,2024-03-29 11:06:03.228390,1,0,爱看机器人,t4/files/drpy_js,t4/files/drpy_js/爱看机器人.js,True,52,.js,,1,1,1,0,True
21,2024-02-01 14:31:22.116274,1,2024-03-29 11:06:03.231952,1,0,百忙无果,t4/files/drpy_js,t4/files/drpy_js/百忙无果.js,True,21,.js,,1,1,1,0,True
22,2024-02-01 14:31:22.119351,1,2024-03-29 11:06:03.238708,1,0,腾云驾雾,t4/files/drpy_js,t4/files/drpy_js/腾云驾雾.js,True,22,.js,,1,1,1,0,True
23,2024-02-01 14:31:22.123053,1,2024-03-29 11:06:03.244727,1,0,荐片,t4/files/drpy_js,t4/files/drpy_js/荐片.js,True,23,.js,,1,1,1,0,True
24,2024-02-01 14:31:22.128734,1,2024-03-29 11:06:03.249181,1,0,菜狗,t4/files/drpy_js,t4/files/drpy_js/菜狗.js,True,24,.js,,1,1,1,0,True
57,2024-02-04 14:21:09.762671,1,2024-03-29 11:06:03.252814,1,0,豆瓣,t4/files/drpy_js,t4/files/drpy_js/豆瓣.js,True,57,.js,?render=1,1,1,1,1,True
