央视频道,#genre#
CCTV-1,http://106.113.149.200:2222/rtp/239.254.200.45:8008
CCTV-1,http://101.17.192.171:8007/rtp/239.253.92.83:8012
CCTV-2,http://106.113.149.200:2222/rtp/239.254.200.158:6000
CCTV-2,http://101.17.192.171:8007/rtp/239.253.92.190:6065
CCTV-3,http://106.113.149.200:2222/rtp/239.254.201.152:7205
CCTV-3,http://106.113.149.200:2222/rtp/239.254.200.13:6000
CCTV-3,http://101.17.192.171:8007/rtp/239.253.92.191:6057
CCTV-4,http://106.113.149.200:2222/rtp/239.254.200.190:6307
CCTV-4,http://101.17.192.171:8007/rtp/239.253.93.193:6371
CCTV-4,http://101.17.192.171:8007/rtp/239.253.93.192:6370
CCTV-4,http://106.113.149.200:2222/rtp/239.254.201.205:4220
CCTV-4,http://106.113.149.200:2222/rtp/239.254.201.206:4220
CCTV-4,http://101.17.192.171:8007/rtp/239.253.92.251:6141
CCTV-5+,http://106.113.149.200:2222/rtp/239.254.200.46:8004
CCTV-5,http://106.113.149.200:2222/rtp/239.254.201.153:7206
CCTV-5,http://106.113.149.200:2222/rtp/239.254.200.14:6000
CCTV-5+,http://101.17.192.171:8007/rtp/239.253.92.82:8013
CCTV-5,http://101.17.192.171:8007/rtp/239.253.92.181:6046
CCTV-6,http://106.113.149.200:2222/rtp/239.254.201.154:7207
CCTV-6,http://101.17.192.171:8007/rtp/239.253.92.193:6058
CCTV-6,http://106.113.149.200:2222/rtp/239.254.200.15:6000
CCTV-7,http://101.17.192.171:8007/rtp/239.253.92.194:6059
CCTV-7,http://106.113.149.200:2222/rtp/239.254.200.159:6000
CCTV-8,http://106.113.149.200:2222/rtp/239.254.201.155:7208
CCTV-8,http://106.113.149.200:2222/rtp/239.254.200.16:6000
CCTV-8,http://101.17.192.171:8007/rtp/239.253.92.195:6060
CCTV-9,http://106.113.149.200:2222/rtp/239.254.200.59:8112
CCTV-9,http://101.17.192.171:8007/rtp/239.253.92.107:6020
CCTV-10,http://106.113.149.200:2222/rtp/239.254.200.160:6000
CCTV-10,http://101.17.192.171:8007/rtp/239.253.92.196:6061
CCTV-11,http://106.113.149.200:2222/rtp/239.254.201.123:8120
CCTV-11,http://101.17.192.171:8007/rtp/239.253.93.153:6321
CCTV-12,http://101.17.192.171:8007/rtp/239.253.92.197:6062
CCTV-12,http://106.113.149.200:2222/rtp/239.254.200.161:6000
CCTV-13,http://101.17.192.171:8007/rtp/239.253.92.13:8008
CCTV-13,http://106.113.149.200:2222/rtp/239.254.200.9:8264
CCTV-14,http://106.113.149.200:2222/rtp/239.254.200.162:6000
CCTV-14,http://101.17.192.171:8007/rtp/239.253.92.198:6063
CCTV-15,http://101.17.192.171:8007/rtp/239.253.93.154:6322
CCTV-15,http://106.113.149.200:2222/rtp/239.254.201.124:8136
CCTV-16,http://106.113.149.200:2222/rtp/239.254.201.150:6345
CCTV-17,http://101.17.192.171:8007/rtp/239.253.93.150:6318
CCTV-17,http://106.113.149.200:2222/rtp/239.254.201.120:8144
CETV-1,http://106.113.149.200:2222/rtp/239.254.200.225:6259
CETV-1,http://101.17.192.171:8007/rtp/239.253.92.211:6069
CETV-2,http://106.113.149.200:2222/rtp/239.254.200.226:6260
CETV-2,http://101.17.192.171:8007/rtp/239.253.92.108:6136
CETV-4,http://106.113.149.200:2222/rtp/239.254.200.227:6261
CETV-4,http://101.17.192.171:8007/rtp/239.253.92.200:6137
CGTN-,http://106.113.149.200:2222/rtp/239.254.200.12:8056
CGTN-俄语,http://106.113.149.200:2222/rtp/239.254.201.212:4220
CGTN-俄语,http://101.17.192.171:8007/rtp/239.253.93.199:6377
CGTN-国际,http://101.17.192.171:8007/rtp/239.253.92.15:8011
CGTN-法语,http://106.113.149.200:2222/rtp/239.254.201.210:4220
CGTN-法语,http://101.17.192.171:8007/rtp/239.253.93.197:6375
CGTN-英文记录,http://106.113.149.200:2222/rtp/239.254.201.208:4220
CGTN-英文记录,http://101.17.192.171:8007/rtp/239.253.93.195:6373
CGTN-西班牙语,http://106.113.149.200:2222/rtp/239.254.201.209:4220
CGTN-西班牙语,http://101.17.192.171:8007/rtp/239.253.93.196:6374
CGTN-阿拉伯语,http://106.113.149.200:2222/rtp/239.254.201.211:4220
CGTN-阿拉伯语,http://101.17.192.171:8007/rtp/239.253.93.198:6376
CCTV-4K,http://101.17.192.171:8007/rtp/239.253.93.134:6631
CCTV-奥林匹克4K,http://106.113.149.200:2222/rtp/239.254.200.7:6346
CCTV-奥林匹克4K,http://106.113.149.200:2222/rtp/239.254.201.150:6345

数字频道,#genre#
电视指南,http://101.17.192.171:8007/rtp/239.253.93.249:6427
电视指南,http://106.113.149.200:2222/rtp/239.254.201.217:7250
电视指南,http://106.113.149.200:2222/rtp/239.254.200.142:6256
电视指南,http://101.17.192.171:8007/rtp/239.253.92.17:6078
怀旧剧场,http://101.17.192.171:8007/rtp/239.253.93.252:6430
怀旧剧场,http://106.113.149.200:2222/rtp/239.254.201.220:7256
怀旧剧场,http://106.113.149.200:2222/rtp/239.254.200.95:6229
怀旧剧场,http://101.17.192.171:8007/rtp/239.253.92.98:6120
第一剧场,http://101.17.192.171:8007/rtp/239.253.93.138:6428
第一剧场,http://106.113.149.200:2222/rtp/239.254.201.218:7258
第一剧场,http://106.113.149.200:2222/rtp/239.254.200.93:6227
第一剧场,http://101.17.192.171:8007/rtp/239.253.92.18:6079
欢笑剧场,http://101.17.192.171:8007/rtp/239.253.93.223:6401
欢笑剧场,http://106.113.149.200:2222/rtp/239.254.201.164:6355
都市剧场,http://101.17.192.171:8007/rtp/239.253.93.227:6405
都市剧场,http://106.113.149.200:2222/rtp/239.254.201.167:6360
风云剧场,http://101.17.192.171:8007/rtp/239.253.93.251:6429
风云剧场,http://106.113.149.200:2222/rtp/239.254.201.219:7257
风云剧场,http://106.113.149.200:2222/rtp/239.254.200.94:6228
风云剧场,http://101.17.192.171:8007/rtp/239.253.92.22:6073
文化精品,http://101.17.192.171:8007/rtp/239.253.93.175:6439
文化精品,http://106.113.149.200:2222/rtp/239.254.201.229:7260
文化精品,http://101.17.192.171:8007/rtp/239.253.92.25:6104
文化精品,http://106.113.149.200:2222/rtp/239.254.200.111:6251
风云音乐,http://101.17.192.171:8007/rtp/239.253.93.253:6431
风云音乐,http://106.113.149.200:2222/rtp/239.254.201.221:7259
风云音乐,http://106.113.149.200:2222/rtp/239.254.200.96:6230
风云音乐,http://101.17.192.171:8007/rtp/239.253.92.111:8060
梨园,http://101.17.192.171:8007/rtp/239.253.93.133:6441
梨园,http://106.113.149.200:2222/rtp/239.254.201.231:7228
梨园,http://101.17.192.171:8007/rtp/239.253.92.152:8086
梨园,http://106.113.149.200:2222/rtp/239.254.200.120:6247
世界地理,http://106.113.149.200:2222/rtp/239.254.201.226:7254
世界地理,http://101.17.192.171:8007/rtp/239.253.92.131:6113
世界地理,http://106.113.149.200:2222/rtp/239.254.200.102:6236
世界地理,http://101.17.192.171:8007/rtp/239.253.92.113:8066
发现之旅,http://101.17.192.171:8007/rtp/239.253.94.30:6629
求索纪录,http://101.17.192.171:8007/rtp/239.253.93.236:6414
求索纪录,http://106.113.149.200:2222/rtp/239.254.201.176:7221
环球奇观,http://106.113.149.200:2222/rtp/239.254.200.105:6238
环球奇观,http://101.17.192.171:8007/rtp/239.253.92.130:8069
环球旅游,http://106.113.149.200:2222/rtp/239.254.201.161:6264
环球旅游,http://101.17.192.171:8007/rtp/239.253.93.220:6398
生态环境,http://106.113.149.200:2222/rtp/239.254.201.187:6226
生态环境,http://101.17.192.171:8007/rtp/239.253.93.245:6423
百姓健康,http://101.17.192.171:8007/rtp/239.253.92.199:6568
兵器科技,http://101.17.192.171:8007/rtp/239.253.93.47:6435
兵器科技,http://106.113.149.200:2222/rtp/239.254.201.225:7249
兵器科技,http://101.17.192.171:8007/rtp/239.253.92.119:8065
兵器科技,http://106.113.149.200:2222/rtp/239.254.200.101:6235
四海钓鱼,http://106.113.149.200:2222/rtp/239.254.201.185:6363
四海钓鱼,http://101.17.192.171:8007/rtp/239.253.93.243:6421
快乐垂钓,http://101.17.192.171:8007/rtp/239.253.93.213:6391
快乐垂钓,http://106.113.149.200:2222/rtp/239.254.200.229:6257
文物宝库,http://106.113.149.200:2222/rtp/239.254.201.227:7230
文物宝库,http://101.17.192.171:8007/rtp/239.253.93.180:6437
文物宝库,http://101.17.192.171:8007/rtp/239.253.92.159:8070
文物宝库,http://106.113.149.200:2222/rtp/239.254.200.106:6239
老故事,http://101.17.192.171:8007/rtp/239.253.92.132:8068
老故事,http://106.113.149.200:2222/rtp/239.254.200.104:6237
书画,http://106.113.149.200:2222/rtp/239.254.200.217:6267
书画,http://101.17.192.171:8007/rtp/239.253.93.214:6392
摄影,http://106.113.149.200:2222/rtp/239.254.200.119:6246
摄影,http://101.17.192.171:8007/rtp/239.253.93.215:6393
茶频道,http://101.17.192.171:8007/rtp/239.253.93.212:6390
茶频道,http://106.113.149.200:2222/rtp/239.254.200.228:6258
羽毛球,http://101.17.192.171:8007/rtp/239.253.93.202:6380
羽毛球,http://106.113.149.200:2222/rtp/239.254.201.214:7264
武术世界,http://106.113.149.200:2222/rtp/239.254.201.224:7229
武术世界,http://101.17.192.171:8007/rtp/239.253.93.46:6434
武术世界,http://101.17.192.171:8007/rtp/239.253.92.141:8064
武术世界,http://106.113.149.200:2222/rtp/239.254.200.100:6234
先锋乒羽,http://101.17.192.171:8007/rtp/239.253.93.219:6397
先锋乒羽,http://106.113.149.200:2222/rtp/239.254.201.160:7172
风云足球,http://101.17.192.171:8007/rtp/239.253.93.254:6432
风云足球,http://106.113.149.200:2222/rtp/239.254.201.222:7251
风云足球,http://106.113.149.200:2222/rtp/239.254.200.97:6231
风云足球,http://101.17.192.171:8007/rtp/239.253.92.110:8061
天元围棋,http://106.113.149.200:2222/rtp/239.254.201.156:6270
天元围棋,http://101.17.192.171:8007/rtp/239.253.93.211:6389
央视台球,http://101.17.192.171:8007/rtp/239.253.93.231:6409
央视台球,http://106.113.149.200:2222/rtp/239.254.201.171:7176
高尔夫网球,http://101.17.192.171:8007/rtp/239.253.93.122:6465
高尔夫网球,http://106.113.149.200:2222/rtp/239.254.201.223:7252
高尔夫网球,http://101.17.192.171:8007/rtp/239.253.92.117:8062
高尔夫网球,http://106.113.149.200:2222/rtp/239.254.200.98:6232
财富天下,http://106.113.149.200:2222/rtp/239.254.200.124:6370
财富天下,http://101.17.192.171:8007/rtp/239.253.93.247:6425
证券服务,http://101.17.192.171:8007/rtp/239.253.92.124:6569
东方财经,http://101.17.192.171:8007/rtp/239.253.93.239:6417
东方财经,http://106.113.149.200:2222/rtp/239.254.201.181:7214
家庭理财,http://106.113.149.200:2222/rtp/239.254.201.188:6366
家庭理财,http://101.17.192.171:8007/rtp/239.253.93.246:6424
点掌财经,http://101.17.192.171:8007/rtp/239.253.92.236:6448
中华特产,http://101.17.192.171:8007/rtp/239.253.93.242:6420
中华特产,http://106.113.149.200:2222/rtp/239.254.201.184:6263
中华美食,http://101.17.192.171:8007/rtp/239.253.93.248:6426
中华美食,http://106.113.149.200:2222/rtp/239.254.201.189:7171
中国交通,http://106.113.149.200:2222/rtp/239.254.201.110:5181
中国交通,http://101.17.192.171:8007/rtp/239.253.93.189:6357
汽摩,http://101.17.192.171:8007/rtp/239.253.92.46:6110
汽摩,http://106.113.149.200:2222/rtp/239.254.200.103:6252
车迷,http://106.113.149.200:2222/rtp/239.254.201.162:6266
车迷,http://101.17.192.171:8007/rtp/239.253.93.221:6399
乐游,http://101.17.192.171:8007/rtp/239.253.93.224:6402
游戏风云,http://101.17.192.171:8007/rtp/239.253.93.222:6400
游戏风云,http://106.113.149.200:2222/rtp/239.254.201.163:6354
BRTV纪实科教,http://101.17.192.171:8007/rtp/239.253.93.190:6358
纪实人文,http://101.17.192.171:8007/rtp/239.253.92.99:6013
纪实人文,http://106.113.149.200:2222/rtp/239.254.200.58:8060
金鹰纪实,http://101.17.192.171:8007/rtp/239.253.92.103:6054
金鹰纪实,http://106.113.149.200:2222/rtp/239.254.200.189:6293
法治天地,http://101.17.192.171:8007/rtp/239.253.93.241:6419
法治天地,http://106.113.149.200:2222/rtp/239.254.201.183:7226
生活时尚,http://101.17.192.171:8007/rtp/239.253.93.226:6404
生活时尚,http://106.113.149.200:2222/rtp/239.254.201.166:6359
女性时尚,http://101.17.192.171:8007/rtp/239.253.92.144:6114
女性时尚,http://106.113.149.200:2222/rtp/239.254.201.228:7255
女性时尚,http://106.113.149.200:2222/rtp/239.254.200.110:6241
女性时尚,http://101.17.192.171:8007/rtp/239.253.92.249:6103
早期教育,http://106.113.149.200:2222/rtp/239.254.201.230:7253
早期教育,http://101.17.192.171:8007/rtp/239.253.93.164:6440
早期教育,http://101.17.192.171:8007/rtp/239.253.92.39:6107
早期教育,http://106.113.149.200:2222/rtp/239.254.200.114:6244
中学生,http://101.17.192.171:8007/rtp/239.253.92.27:6106
中学生,http://106.113.149.200:2222/rtp/239.254.200.113:6243
国学,http://101.17.192.171:8007/rtp/239.253.92.158:8071
国学,http://106.113.149.200:2222/rtp/239.254.200.107:6255
金色学堂,http://101.17.192.171:8007/rtp/239.253.93.240:6418
金色学堂,http://106.113.149.200:2222/rtp/239.254.201.182:7227
kaku 少儿,http://101.17.192.171:8007/rtp/239.253.92.162:8054
kaku 少儿,http://106.113.149.200:2222/rtp/239.254.200.91:9248
优优宝贝,http://106.113.149.200:2222/rtp/239.254.201.186:6272
优优宝贝,http://101.17.192.171:8007/rtp/239.253.93.244:6422
优漫卡通,http://101.17.192.171:8007/rtp/239.253.93.204:6382
优漫卡通,http://106.113.149.200:2222/rtp/239.254.201.203:7178
动漫秀场,http://101.17.192.171:8007/rtp/239.253.93.225:6403
动漫秀场,http://106.113.149.200:2222/rtp/239.254.201.165:6358
嘉佳卡通,http://101.17.192.171:8007/rtp/239.253.93.203:6381
嘉佳卡通,http://106.113.149.200:2222/rtp/239.254.201.201:7269
新动漫,http://101.17.192.171:8007/rtp/239.253.93.217:6395
新动漫,http://106.113.149.200:2222/rtp/239.254.201.158:7170
金鹰卡通,http://101.17.192.171:8007/rtp/239.253.92.163:8055
金鹰卡通,http://106.113.149.200:2222/rtp/239.254.200.92:9252
党教,http://101.17.192.171:8007/rtp/239.253.92.125:6024

卫视频道,#genre#
东南卫视,http://101.17.192.171:8007/rtp/239.253.92.201:6146
东南卫视,http://106.113.149.200:2222/rtp/239.254.201.13:6291
