⛄丨IPv4央视（福建广东）,#genre#
CCTV16 4K,http://113.109.250.98:9999/udp/239.77.1.98:5146
CCTV4k,http://159.75.85.63:5679/cctv4k.php
CCTV4k,http://113.109.250.98:9999/udp/239.77.0.194:5146
CCTV4k,http://113.109.250.98:9999/udp/239.77.0.174:5146
CCTV1,http://120.41.124.228:8888/rtp/239.61.3.61:9884
CCTV2,http://120.41.124.228:8888/rtp/239.61.2.174:9032
CCTV3,http://120.41.124.228:8888/rtp/239.61.3.34:9722
CCTV4,http://120.41.124.228:8888/rtp/239.61.2.206:9224
CCTV5,http://120.41.124.228:8888/rtp/239.61.3.35:9728
CCTV5+,http://120.41.124.228:8888/rtp/239.61.2.171:9014
CCTV6,http://120.41.124.228:8888/rtp/239.61.3.36:9734
CCTV7,http://120.41.124.228:8888/rtp/239.61.2.175:9038
CCTV8,http://120.41.124.228:8888/rtp/239.61.3.37:9740
CCTV9,http://120.41.124.228:8888/rtp/239.61.2.172:9020
CCTV10,http://120.41.124.228:8888/rtp/239.61.2.176:9044
CCTV11,http://120.41.124.228:8888/rtp/239.61.2.21:8120
CCTV12,http://120.41.124.228:8888/rtp/239.61.2.177:9050
CCTV13,http://120.41.124.228:8888/rtp/239.61.2.23:8132
CCTV14,http://120.41.124.228:8888/rtp/239.61.2.178:9056
CCTV15,http://120.41.124.228:8888/rtp/239.61.2.25:8144
CCTV-16,http://113.109.250.98:9999/udp/239.77.0.165:5146
CCTV17,http://120.41.124.228:8888/rtp/239.61.3.9:9572
CGTN,http://120.41.124.228:8888/rtp/239.61.2.19:8108
CGTN法语,http://120.41.124.228:8888/rtp/239.61.3.44:9782
CGTN俄语,http://120.41.124.228:8888/rtp/239.61.3.45:9788
CGTN德语,http://120.41.124.228:8888/rtp/239.61.3.43:9776
CCTV1,http://113.109.250.98:9999/udp/239.77.1.17:5146
CCTV1,http://113.109.250.98:9999/udp/239.77.1.144:5146
CCTV1,http://113.109.250.98:9999/udp/239.77.0.86:5146
CCTV1,http://113.109.250.98:9999/udp/239.77.0.129:5146
CCTV2,http://113.109.250.98:9999/udp/239.77.1.158:5146
CCTV2,http://113.109.250.98:9999/udp/239.253.43.17:5146
CCTV2,http://113.109.250.98:9999/udp/239.77.0.137:5146
CCTV3,http://113.109.250.98:9999/udp/239.77.0.169:5146
CCTV3,http://113.109.250.98:9999/udp/239.77.0.175:5146
CCTV4,http://113.109.250.98:9999/udp/239.77.1.163:5146
CCTV4,http://113.109.250.98:9999/udp/239.77.1.166:5146
CCTV4,http://113.109.250.98:9999/udp/239.77.0.78:5146
CCTV5,http://113.109.250.98:9999/udp/239.77.0.170:5146
CCTV5,http://113.109.250.98:9999/udp/239.77.0.177:5146
CCTV5+,http://113.109.250.98:9999/udp/239.77.0.87:5146
CCTV5+,http://113.109.250.98:9999/udp/239.77.1.31:5146
CCTV5+,http://113.109.250.98:9999/udp/239.77.1.147:5146
CCTV6,http://113.109.250.98:9999/udp/239.77.0.171:5146
CCTV6,http://113.109.250.98:9999/udp/239.77.0.178:5146
CCTV7,http://113.109.250.98:9999/udp/239.77.1.159:5146
CCTV7,http://113.109.250.98:9999/udp/239.77.1.167:5146
CCTV7,http://113.109.250.98:9999/udp/239.77.0.138:5146
CCTV8,http://113.109.250.98:9999/udp/239.77.0.172:5146
CCTV8,http://113.109.250.98:9999/udp/239.77.0.181:5146
CCTV9,http://113.109.250.98:9999/udp/239.77.1.160:5146
CCTV9,http://113.109.250.98:9999/udp/239.77.1.168:5146
CCTV9,http://113.109.250.98:9999/udp/239.77.0.135:5146
CCTV10,http://113.109.250.98:9999/udp/239.77.1.113:5146
CCTV10,http://113.109.250.98:9999/udp/239.77.1.169:5146
CCTV10,http://113.109.250.98:9999/udp/239.77.0.134:5146
CCTV11,http://113.109.250.98:9999/udp/239.77.1.238:5146
CCTV12,http://113.109.250.98:9999/udp/239.77.1.109:5146
CCTV12,http://113.109.250.98:9999/udp/239.77.1.170:5146
CCTV12,http://113.109.250.98:9999/udp/239.77.0.136:5146
CCTV13,http://113.109.250.98:9999/udp/239.77.0.188:5146
CCTV13,http://113.109.250.98:9999/udp/239.253.43.196:5146
CCTV14,http://113.109.250.98:9999/udp/239.77.1.161:5146
CCTV14,http://113.109.250.98:9999/udp/239.77.1.171:5146
CCTV14,http://113.109.250.98:9999/udp/239.77.0.133:5146
CCTV15,http://113.109.250.98:9999/udp/239.77.1.239:5146
CCTV16,http://113.109.250.98:9999/udp/239.77.1.76:5146
CCTV17,http://113.109.250.98:9999/udp/239.77.1.121:5146
CGTN,http://113.109.250.98:9999/udp/239.77.0.45:5146
CGTN,http://113.109.250.98:9999/udp/239.77.1.27:5146
CGTN英语,http://113.109.250.98:9999/udp/239.77.0.199:5146
CGTN西班牙语,http://113.109.250.98:9999/udp/239.77.0.221:5146
CGTN法语,http://113.109.250.98:9999/udp/239.77.0.228:5146
CGTN阿拉伯语,http://113.109.250.98:9999/udp/239.253.43.200:5146
CGTN俄语,http://113.109.250.98:9999/udp/239.253.43.201:5146
⛄丨IPv4地方卫视（福建浙江地区）,#genre#
凤凰卫视资讯台,http://120.41.124.228:8888/rtp/239.61.2.183:9086
凤凰卫视中文台,http://120.41.124.228:8888/rtp/239.61.2.184:9092
厦门卫视,http://120.41.124.228:8888/rtp/239.61.2.11:8060
海峡卫视,http://120.41.124.228:8888/rtp/239.61.2.151:8894
东南卫视,http://120.41.124.228:8888/rtp/239.61.2.132:8708
东方卫视,http://120.41.124.228:8888/rtp/239.61.2.28:8162
湖南卫视,http://120.41.124.228:8888/rtp/239.61.2.31:8180
江苏卫视,http://120.41.124.228:8888/rtp/239.61.2.30:8174
浙江卫视,http://120.41.124.228:8888/rtp/239.61.2.29:8168
河北卫视,http://120.41.124.228:8888/rtp/239.61.2.57:8336
广东卫视,http://120.41.124.228:8888/rtp/239.61.2.33:8192
山东卫视,http://120.41.124.228:8888/rtp/239.61.2.119:8708
湖北卫视,http://120.41.124.228:8888/rtp/239.61.2.120:8714
深圳卫视,http://120.41.124.228:8888/rtp/239.61.3.46:9794
黑龙江卫视,http://120.41.124.228:8888/rtp/239.61.2.34:8198
贵州卫视,http://120.41.124.228:8888/rtp/239.61.2.159:8942
安徽卫视,http://120.41.124.228:8888/rtp/239.61.2.248:9476
天津卫视,http://120.41.124.228:8888/rtp/239.61.2.180:9068
四川卫视,http://120.41.124.228:8888/rtp/239.61.2.251:9494
江西卫视,http://120.41.124.228:8888/rtp/239.61.2.182:9080
