成人频道,#genre#
Brunette,http://cdn.adultiptv.net/brunette.m3u8
Compilation,http://cdn.adultiptv.net/compilation.m3u8
Fetish,http://cdn.adultiptv.net/fetish.m3u8
PornStar,http://cdn.adultiptv.net/pornstar.m3u8
POV,http://cdn.adultiptv.net/pov.m3u8
Rough,http://cdn.adultiptv.net/rough.m3u8
Teen,http://cdn.adultiptv.net/teen.m3u8
BigDick,http://live.redtraffic.xyz/bigdick.m3u8
BigTits,http://live.redtraffic.xyz/bigtits.m3u8
Hardcore,http://live.redtraffic.xyz/hardcore.m3u8
Lesbian,http://live.redtraffic.xyz/lesbian.m3u8
Threesome,http://live.redtraffic.xyz/threesome.m3u8
无码频道,#genre#
AARM-046,https://t15.cdn2020.com:12339/video/m3u8/2022/01/20/fa9172db/index.m3u8
AARM-066,https://t17.cdn2020.com:12341/video/m3u8/2022/04/04/e61cb482/index.m3u8
ABP-287,https://t17.cdn2020.com:12341/video/m3u8/2022/03/31/19d5be2b/index.m3u8
ABP-828,https://t15.cdn2020.com:12339/video/m3u8/2022/01/14/d3d0ae81/index.m3u8
ABP-981,https://siwazywcdn2.com:5278/zhongwenzimu/yUJdhNRX/index.m3u8
ABW-175,https://t15.cdn2020.com:12339/video/m3u8/2022/01/17/b82f6079/index.m3u8
176,https://t15.cdn2020.com:12339/video/m3u8/2022/01/17/cd1cba72/index.m3u8
ABW-178,https://t15.cdn2020.com:12339/video/m3u8/2021/12/25/ae7feac3/index.m3u8
ABW-201,https://t17.cdn2020.com:12341/video/m3u8/2022/03/15/4fdaee6f/index.m3u8
无码频道2,#genre#
ADN-363,https://t15.cdn2020.com:12339/video/m3u8/2022/01/10/59272dbc/index.m3u8
ADN-382,https://t17.cdn2020.com:12341/video/m3u8/2022/03/13/239d6d2d/index.m3u8
ADN-384,https://t17.cdn2020.com:12341/video/m3u8/2022/03/13/bb3bff27/index.m3u8
AKID-093,https://t17.cdn2020.com:12341/video/m3u8/2022/03/30/3b67665d/index.m3u8
AMBI-135,https://t15.cdn2020.com:12339/video/m3u8/2022/01/06/6048856a/index.m3u8
AMBI-148,https://t15.cdn2020.com:12339/video/m3u8/2022/01/24/ee9f9338/index.m3u8
ATID-493,https://t15.cdn2020.com:12339/video/m3u8/2022/01/10/c604e813/index.m3u8
ATID-500,https://t17.cdn2020.com:12341/video/m3u8/2022/03/13/d7446265/index.m3u8
BF-611,https://t15.cdn2020.com:12339/video/m3u8/2022/01/27/57e5af50/index.m3u8
BIJN-206,https://t15.cdn2020.com:12339/video/m3u8/2022/01/06/7588319a/index.m3u8
BLK-547,https://t15.cdn2020.com:12339/video/m3u8/2022/01/30/75b14a5f/index.m3u8
BLK-552,https://t15.cdn2020.com:12339/video/m3u8/2022/01/30/0430469f/index.m3u8
