🐼电视公告,#genre#

温馨提醒,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8
接口免费,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
拒绝收费,http://106.53.99.30/tv/api.php?id=cctv1
如果已收,https://cccimg.com/down.php/a2edaf1d6c0d503f8f7b0b21a3aad670.mp4
申请退费,https://gitee.com/kdsb/lm/raw/master/ad.mp4
更新2025-08-02,https://gitee.com/kdsb/lm/raw/master/ad.mp4
已运行621天,https://gitee.com/kdsb/lm/raw/master/ad.mp4

TVB翡翠台,http://edge2.163189.xyz/o12.php?id=fct

🐼4K专区,#genre#
深圳卫视4K,http://8.138.7.223/tv/gd.php?id=0201
广东卫视4K,http://119.32.12.12:2901/udp/225.1.101.86:7523
CCTV-4K,http://115.58.140.72:5555/nptv/cctv4k.m3u8
CCTV-16-4K,http://115.58.140.72:5555/nptv/cctv16.m3u8
CCTV-8K,http://115.58.140.72:5555/nptv/cctv8k.m3u8
CCTV-4K,http://www.douzhicloud.site:35455/nptv/cctv4k.m3u8
CCTV-16-4K,http://www.douzhicloud.site:35455/nptv/cctv16.m3u8
CCTV-8K,http://www.douzhicloud.site:35455/nptv/cctv8k.m3u8
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
广州南国都市4K,https://tencentplaybusiness.gztv.com/live/nanguodushi.m3u8
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
北京纪实科教8K,http://8.138.7.223/tv/brtv8k.php
法国时尚台4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
4K测试频道,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
LOVE 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8?blog.ntnas.top

🐼稳定官方,#genre#
CCTV1,http://106.53.99.30/tv/20250717.php?id=0001
CCTV2,http://106.53.99.30/tv/20250717.php?id=0002
CCTV3,http://106.53.99.30/tv/20250717.php?id=0003
CCTV4,http://106.53.99.30/tv/20250717.php?id=0004
CCTV5,http://106.53.99.30/tv/20250717.php?id=0005
CCTV5+,http://106.53.99.30/tv/20250717.php?id=0006
CCTV6,http://106.53.99.30/tv/20250717.php?id=0007
CCTV7,http://106.53.99.30/tv/20250717.php?id=0008
CCTV8,http://106.53.99.30/tv/20250717.php?id=0009
CCTV9,http://106.53.99.30/tv/20250717.php?id=0010
CCTV10,http://106.53.99.30/tv/20250717.php?id=0011
CCTV11,http://106.53.99.30/tv/20250717.php?id=0012
CCTV12,http://106.53.99.30/tv/20250717.php?id=0013
