stripchat,#genre#
StunnerBeauty-170cm,https://edge-hls.doppiocdn.net/hls/133445364/master/133445364.m3u8
StunnerBeauty-170cm,https://b-hls-25.doppiocdn.net/hls/133445364/133445364.m3u8?playlistType=lowLatency&_HLS_msn=1506&_HLS_part=1

Lan-mei,https://b-hls-09.doppiocdn.net/hls/132789258/132789258.m3u8?playlistType=lowLatency&_HLS_msn=2466&_HLS_part=1

0O0O_00O-O00O0,https://b-hls-14.doppiocdn.net/hls/118055446/118055446.m3u8?playlistType=lowLatency&_HLS_msn=2347&_HLS_part=1
0O0O_00O-O00O0,https://edge-hls.doppiocdn.net/hls/118055446/master/118055446_auto.m3u8?playlistType=lowLatency

Daji-520,https://b-hls-12.doppiocdn.net/hls/144340014/144340014.m3u8?playlistType=lowLatency
Daji-520,https://edge-hls.doppiocdn.net/hls/144340014/master/144340014_auto.m3u8?playlistType=lowLatency

Hymsv333,https://edge-hls.doppiocdn.net/hls/150579793/master/150579793_auto.m3u8?playlistType=lowLatency
Hymsv333,https://b-hls-21.doppiocdn.net/hls/150579793/150579793_720p.m3u8?playlistType=lowLatency&_HLS_msn=5845&_HLS_part=2
Hymsv333,https://b-hls-21.doppiocdn.net/hls/150579793/150579793_480p.m3u8?playlistType=lowLatency&_HLS_msn=5845&_HLS_part=2
Hymsv333,https://b-hls-21.doppiocdn.net/hls/150579793/150579793_240p.m3u8?playlistType=lowLatency&_HLS_msn=5845&_HLS_part=2

Spring----,https://edge-hls.doppiocdn.net/hls/150071298/master/150071298_auto.m3u8?playlistType=lowLatency
Spring----,https://b-hls-12.doppiocdn.net/hls/150071298/150071298.m3u8?playlistType=lowLatency
Spring----,https://b-hls-12.doppiocdn.net/hls/150071298/150071298_720p.m3u8?playlistType=lowLatency
Spring----,https://b-hls-12.doppiocdn.net/hls/150071298/150071298_480p.m3u8?playlistType=lowLatency
Spring----,https://b-hls-12.doppiocdn.net/hls/150071298/150071298_240p.m3u8?playlistType=lowLatency
Spring----,https://b-hls-12.doppiocdn.net/hls/150071298/150071298_auto.m3u8?playlistType=lowLatency
//--------------------


WUU20,https://edge-hls.doppiocdn.net/hls/148464163/master/148464163_auto.m3u8?playlistType=lowLatency
WUU20,https://b-hls-12.doppiocdn.net/hls/148464163/148464163.m3u8?playlistType=lowLatency
WUU20,https://b-hls-12.doppiocdn.net/hls/148464163/148464163_720p.m3u8?playlistType=lowLatency
WUU20,https://b-hls-12.doppiocdn.net/hls/148464163/148464163_480p.m3u8?playlistType=lowLatency
WUU20,https://b-hls-12.doppiocdn.net/hls/148464163/148464163_240p.m3u8?playlistType=lowLatency
WUU20,https://b-hls-12.doppiocdn.net/hls/148464163/148464163_auto.m3u8?playlistType=lowLatency

Ecup-JULI,https://edge-hls.doppiocdn.net/hls/105515374/master/105515374_auto.m3u8?playlistType=lowLatency
Ecup-JULI,https://b-hls-06.doppiocdn.net/hls/105515374/105515374.m3u8?playlistType=lowLatency

Chu-Chu-99,https://edge-hls.doppiocdn.net/hls/147538982/master/147538982_auto.m3u8?playlistType=lowLatency
Chu-Chu-99,https://b-hls-24.doppiocdn.net/hls/147538982/147538982.m3u8?playlistType=lowLatency

Rosin-03,https://edge-hls.doppiocdn.net/hls/150488732/master/150488732_auto.m3u8?playlistType=lowLatency
Rosin-03,https://b-hls-04.doppiocdn.net/hls/150488732/150488732.m3u8?playlistType=lowLatency&_HLS_msn=78&_HLS_part=0

youri-i,https://edge-hls.doppiocdn.net/hls/150882611/master/150882611_auto.m3u8?playlistType=lowLatency
youri-i,https://b-hls-13.doppiocdn.net/hls/150882611/150882611.m3u8?playlistType=lowLatency

