🔥限时福利,#genre#
123,https://stream1.freetv.fun/9208c7c5557eba68a628ba8bdb80a779581b6b41c4e4e1c885bd382bee5b76a8.ctv
松视1台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/88.ts


极限,http://pulltest-bj.alivecdn.com:80/live/3191e583b3c63fed16b5d0fe23d00eed.flv
happy,http://pulltest-bj.alivecdn.com:80/live/3e640d4bf8628135c13a42ab4425bcf3.flv
香蕉,http://pulltest-bj.alivecdn.com:80/live/005994c8b086c09725a58ef309e29bba.flv
惊艳,http://pulltest-bj.alivecdn.com:80/live/73a1c858bd54bfb6c873613e50eeb7e5.flv
潘多拉,http://pulltest-bj.alivecdn.com:80/live/e7acdeed362c5a4b09be9604e29a081c.flv
彩虹电影,http://pulltest-bj.alivecdn.com:80/live/4349eee62d08a7168166aae9a3498025.flv
彩虹k,http://pulltest-bj.alivecdn.com:80/live/e50cd040b25d645a3d226951388396f9.flv
彩虹e,http://pulltest-bj.alivecdn.com:80/live/cb26cfbe1a885db69abed7b3da196bdc.flv
松视3,http://pulltest-bj.alivecdn.com:80/live/cb71535cf1558506cc0bf1895eb1afc1.flv
松视1,http://pulltest-bj.alivecdn.com:80/live/4fd8b159356174438c620f05e31a09e3.flv



🔆央视秒播🔆,#genre#


客服,https://www.mpimg.cn/view.php/758d3ace8f1be4b7e8c0fcc93342a8c8.mp4
VX公众号,https://www.mpimg.cn/view.php/758d3ace8f1be4b7e8c0fcc93342a8c8.mp4
阿海AI笔记,https://vd3.bdstatic.com/mda-ki2tx2ink1wtkbz9/hd/mda-ki2tx2ink1wtkbz9.mp4?pd=19&vt=1&playlist=
回复：密码,https://vd3.bdstatic.com/mda-ki2tx2ink1wtkbz9/hd/mda-ki2tx2ink1wtkbz9.mp4?pd=19&vt=1&playlist=
免费下载,https://vd3.bdstatic.com/mda-ki2tx2ink1wtkbz9/hd/mda-ki2tx2ink1wtkbz9.mp4?pd=19&vt=1&playlist=
Q:243470448,https://www.mpimg.cn/view.php/758d3ace8f1be4b7e8c0fcc93342a8c8.mp4

CCTV1综合,http://iptv.4666888.xyz/iptv2A.php?id=cctv1
CCTV2财经,http://iptv.4666888.xyz/iptv2A.php?id=cctv2
CCTV3综艺,http://iptv.4666888.xyz/iptv2A.php?id=cctv3
CCTV4中文国际,http://iptv.4666888.xyz/iptv2A.php?id=cctv4
CCTV5体育,http://iptv.4666888.xyz/iptv2A.php?id=cctv5
CCTV5+体育赛事,http://iptv.4666888.xyz/iptv2A.php?id=cctv5p
CCTV6电影,http://iptv.4666888.xyz/iptv2A.php?id=cctv6
CCTV7国防军事,http://iptv.4666888.xyz/iptv2A.php?id=cctv7
CCTV8电视剧,http://iptv.4666888.xyz/iptv2A.php?id=cctv8
CCTV9记录,http://iptv.4666888.xyz/iptv2A.php?id=cctv9
CCTV10科教,http://iptv.4666888.xyz/iptv2A.php?id=cctv10
CCTV11戏剧,http://iptv.4666888.xyz/iptv2A.php?id=cctv11
CCTV12社会与法,http://iptv.4666888.xyz/iptv2A.php?id=cctv12
CCTV13新闻,http://iptv.4666888.xyz/iptv2A.php?id=cctv13
CCTV14少儿,http://iptv.4666888.xyz/iptv2A.php?id=cctv14
CCTV15音乐,http://iptv.4666888.xyz/iptv2A.php?id=cctv15
CCTV16奥林匹克,http://iptv.4666888.xyz/iptv2A.php?id=cctv16
CCTV17农业农村,http://iptv.4666888.xyz/iptv2A.php?id=cctv17
广东卫视,http://iptv.4666888.xyz/iptv2A.php?id=广东卫视
深圳卫视,http://iptv.4666888.xyz/iptv2A.php?id=深圳卫视
北京卫视,http://iptv.4666888.xyz/iptv2A.php?id=北京卫视
天津卫视,http://iptv.4666888.xyz/iptv2A.php?id=天津卫视
重庆卫视,http://iptv.4666888.xyz/iptv2A.php?id=重庆卫视
东方卫视,http://iptv.4666888.xyz/iptv2A.php?id=东方卫视
东南卫视,http://iptv.4666888.xyz/iptv2A.php?id=东南卫视
湖南卫视,http://iptv.4666888.xyz/iptv2A.php?id=湖南卫视
湖北卫视,http://iptv.4666888.xyz/iptv2A.php?id=湖北卫视
江苏卫视,http://iptv.4666888.xyz/iptv2A.php?id=江苏卫视
江西卫视,http://iptv.4666888.xyz/iptv2A.php?id=江西卫视
河北卫视,http://iptv.4666888.xyz/iptv2A.php?id=河北卫视
河南卫视,http://iptv.4666888.xyz/iptv2A.php?id=河南卫视
浙江卫视,http://iptv.4666888.xyz/iptv2A.php?id=浙江卫视
四川卫视,http://iptv.4666888.xyz/iptv2A.php?id=四川卫视
山东卫视,http://iptv.4666888.xyz/iptv2A.php?id=山东卫视
海南卫视,http://iptv.4666888.xyz/iptv2A.php?id=海南卫视
广西卫视,http://iptv.4666888.xyz/iptv2A.php?id=广西卫视
辽宁卫视,http://iptv.4666888.xyz/iptv2A.php?id=辽宁卫视
安徽卫视,http://iptv.4666888.xyz/iptv2A.php?id=安徽卫视
吉林卫视,http://iptv.4666888.xyz/iptv2A.php?id=吉林卫视
贵州卫视,http://iptv.4666888.xyz/iptv2A.php?id=贵州卫视
甘肃卫视,http://iptv.4666888.xyz/iptv2A.php?id=甘肃卫视
青海卫视,http://iptv.4666888.xyz/iptv2A.php?id=青海卫视
陕西卫视,http://iptv.4666888.xyz/iptv2A.php?id=陕西卫视
云南卫视,http://iptv.4666888.xyz/iptv2A.php?id=云南卫视
山西卫视,http://iptv.4666888.xyz/iptv2A.php?id=山西卫视
黑龙江卫视,http://iptv.4666888.xyz/iptv2A.php?id=黑龙江卫视
西藏卫视,http://iptv.4666888.xyz/iptv2A.php?id=西藏卫视
内蒙古卫视,http://iptv.4666888.xyz/iptv2A.php?id=内蒙古卫视
宁夏卫视,http://iptv.4666888.xyz/iptv2A.php?id=宁夏卫视
新疆卫视,http://iptv.4666888.xyz/iptv2A.php?id=新疆卫视
兵团卫视,http://iptv.4666888.xyz/iptv2A.php?id=兵团卫视
海峡卫视,http://iptv.4666888.xyz/iptv2A.php?id=海峡卫视
厦门卫视,http://iptv.4666888.xyz/iptv2A.php?id=厦门卫视
三沙卫视,http://iptv.4666888.xyz/iptv2A.php?id=三沙卫视
康巴卫视,http://iptv.4666888.xyz/iptv2A.php?id=康巴卫视
山东教育卫视,http://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8


群聊,http://sport.pendy.dpdns.org/migu/608807419?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
Q：1033713095,http://sport.pendy.dpdns.org/migu/608807416?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA








🇨🇳新港澳台,#genre#

Plus综合频临,http://t.061899.xyz/tl/js/js.php?id=tvbplus
凤凰中文频临,http://t.061899.xyz/tl/js/js.php?id=fhwszwt
凤凰资讯频临,http://t.061899.xyz/tl/js/js.php?id=fhwszxt
凤凰香港频临,http://t.061899.xyz/tl/js/js.php?id=fhwsxgt
有线新闻频临,http://t.061899.xyz/tl/js/js.php?id=xgyxxwt
有线新闻频临,http://t.061899.xyz/tl/js/js.php?id=hoyzxt
无线新闻频临,http://t.061899.xyz/tl/js/js.php?id=tvbwxxwt
Now新闻频临,http://t.061899.xyz/tl/js/js.php?id=nowxwt
无线翡翠频临,http://t.061899.xyz/tl/js/js.php?id=tvbfct
无线明珠频临,http://t.061899.xyz/tl/js/js.php?id=tvbmzt
有线综合频临,http://t.061899.xyz/tl/js/js.php?id=hoytv
