
欣赏,#genre#
10小时超长直播BJ-VIP-中韩双语字幕,https://5721004.xyz/bu/其他/20240219_10小时超长直播BJ-VIP-中韩双语字幕.m3u8
0306vip,https://5721004.xyz/bu/其他/0306vip.m3u8
140104-中韩双语字幕,https://5721004.xyz/bu/其他/20240219_140104-中韩双语字幕.m3u8
BJ艾莉,https://5721004.xyz/bu/其他/BJ艾莉.m3u8
韩宝贝BJ,https://5721004.xyz/bu/其他/韩宝贝BJ베이비Double101_1663.m3u8

20240219,#genre#
01,https://5721004.xyz/bu/2.19/20240219_10小时超长直播BJ-VIP-中韩双语字幕.m3u8
02,https://5721004.xyz/bu/2.19/20240219_140104-中韩双语字幕.m3u8
03,https://5721004.xyz/bu/2.19/20240219_140801-中韩双语.m3u8
04,https://5721004.xyz/bu/2.19/20240219_181703.m3u8
05,https://5721004.xyz/bu/2.19/20240219_185334.m3u8
06,https://5721004.xyz/bu/2.19/20240219_221621.m3u8

20240221,#genre#
001,https://5721004.xyz/bu/2.21/20240221_141343.m3u8
002,https://5721004.xyz/bu/2.21/20240221_144616.m3u8
003,https://5721004.xyz/bu/2.21/20240221_150155.m3u8
004,https://5721004.xyz/bu/2.21/20240221_160156.m3u8
005,https://5721004.xyz/bu/2.21/20240221_170156.m3u8
006,https://5721004.xyz/bu/2.21/20240221_180156.m3u8
007,https://5721004.xyz/bu/2.21/20240221_190156.m3u8
008,https://5721004.xyz/bu/2.21/20240221_200156.m3u8
009,https://5721004.xyz/bu/2.21/20240221_210156.m3u8
010,https://5721004.xyz/bu/2.21/20240221_220156.m3u8

20240223,#genre#
001,https://5721004.xyz/bu/2.23/20240223_144112.m3u8
002,https://5721004.xyz/bu/2.23/20240223_152609.m3u8
003,https://5721004.xyz/bu/2.23/20240223_162610.m3u8
004,https://5721004.xyz/bu/2.23/20240223_172610.m3u8
005,https://5721004.xyz/bu/2.23/20240223_182610.m3u8
006,https://5721004.xyz/bu/2.23/20240223_192610.m3u8
007,https://5721004.xyz/bu/2.23/20240223_202610.m3u8
008,https://5721004.xyz/bu/2.23/20240223_211612.m3u8
009,https://5721004.xyz/bu/2.23/20240223_221612.m3u8
010,https://5721004.xyz/bu/2.23/20240223_231612.m3u8

20240226,#genre#
001,https://5721004.xyz/bu/2.26/【jinricp】20240226-001.m3u8
002,https://5721004.xyz/bu/2.26/【jinricp】20240226-002.m3u8
003,https://5721004.xyz/bu/2.26/【jinricp】20240226-003.m3u8
004,https://5721004.xyz/bu/2.26/【jinricp】20240226-004.m3u8
005,https://5721004.xyz/bu/2.26/【jinricp】20240226-005.m3u8
01,https://5721004.xyz/bu/2.26/sample/2024-02-26_漏B.m3u8

20240228,#genre#
001,https://5721004.xyz/bu/2.28/【jinricp】20240228-001.m3u8
002,https://5721004.xyz/bu/2.28/【jinricp】20240228-002.m3u8
003,https://5721004.xyz/bu/2.28/【jinricp】20240228-003.m3u8
VIP,https://5721004.xyz/bu/2.28/【jinricp】20240228-VIP.m3u8
01,https://5721004.xyz/bu/2.28/sample/2024_02_28_23_07_1.m3u8
02,https://5721004.xyz/bu/2.28/sample/2024_02_28_23_07_2.m3u8
03,https://5721004.xyz/bu/2.28/sample/2024_02_28_23_07_3.m3u8
04,https://5721004.xyz/bu/2.28/sample/54soda.mp4
05,https://5721004.xyz/bu/2.28/sample/572.m3u8
06,https://5721004.xyz/bu/2.28/sample/572_okzzz.m3u8

20240304,#genre#
001,https://5721004.xyz/bu/3.04/【jinricp】20240304-001.m3u8
002,https://5721004.xyz/bu/3.04/【jinricp】20240304-002.m3u8
003,https://5721004.xyz/bu/3.04/【jinricp】20240304-003.m3u8
004,https://5721004.xyz/bu/3.04/【jinricp】20240304-004.m3u8
01,https://5721004.xyz/bu/3.04/sample/VID_20240307_160915_596.m3u8
02,https://5721004.xyz/bu/3.04/sample/eli05021212.mp4
03,https://5721004.xyz/bu/3.04/sample/moem9e9.mp4
04,https://5721004.xyz/bu/3.04/video_2024-03-05_03-19-12.m3u8

20240306,#genre#
001,https://5721004.xyz/bu/3.06/【jinricp】20240306-001.m3u8
002,https://5721004.xyz/bu/3.06/【jinricp】20240306-002.m3u8
003,https://5721004.xyz/bu/3.06/【jinricp】20240306-003.m3u8
VIP,https://5721004.xyz/bu/3.06/【jinricp】20240306-VIP.m3u8
01,https://5721004.xyz/bu/3.06/sample/IMG_20240307_160807_949.m3u8
02,https://5721004.xyz/bu/3.06/sample/VID_20240307_160911_619.mp4
03,https://5721004.xyz/bu/3.06/sample/VID_20240307_160931_271.mp4
04,https://5721004.xyz/bu/3.06/sample/VID_20240307_160934_402.mp4
05,https://5721004.xyz/bu/3.06/sample/VID_20240307_160936_067.mp4
06,https://5721004.xyz/bu/3.06/sample/VID_20240307_160938_653.mp4
07,https://5721004.xyz/bu/3.06/sample/VID_20240307_160940_494.mp4
08,https://5721004.xyz/bu/3.06/sample/VID_20240307_160941_685.mp4
09,https://5721004.xyz/bu/3.06/sample/VID_20240307_160943_813.mp4
10,https://5721004.xyz/bu/3.06/sample/VID_20240307_160945_655.mp4
11,https://5721004.xyz/bu/3.06/sample/VID_20240307_160947_879.mp4
12,https://5721004.xyz/bu/3.06/sample/VID_20240307_160949_953.mp4

20240308,#genre#
001,https://5721004.xyz/bu/3.08/【jinricp】20240308-001.m3u8
002,https://5721004.xyz/bu/3.08/【jinricp】20240308-002.m3u8
003,https://5721004.xyz/bu/3.08/【jinricp】20240308-003.m3u8
004,https://5721004.xyz/bu/3.08/【jinricp】20240308-004.m3u8
01,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_1.m3u8
02,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_10.m3u8
03,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_11.m3u8
04,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_12_Eli.m3u8
05,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_13.m3u8
06,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_14.m3u8
07,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_15.mp4
08,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_16.mp4
09,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_17.m3u8
10,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_19.m3u8
11,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_2.m3u8
12,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_20.m3u8
13,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_21.m3u8
14,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_22.m3u8
15,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_24.m3u8
16,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_25.m3u8
17,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_26.m3u8
18,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_27.mp4
19,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_28.m3u8
20,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_30.m3u8
21,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_31.m3u8
22,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_32.m3u8
23,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_33.m3u8
24,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_35.mp4
25,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_36.m3u8
26,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_37.mp4
27,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_38.m3u8
28,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_39.m3u8
29,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_3_22.00.mp4
30,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_4.m3u8
31,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_5.mp4
32,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_14_08_7.mp4
33,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_16_02_41.m3u8
34,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_16_02_42.m3u8
35,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_16_02_43.mp4
36,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_16_02_45_10000.m3u8
37,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_16_02_46.m3u8
38,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_16_02_49.m3u8
39,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_16_02_51_Eli.m3u8
40,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_16_02_53.mp4
41,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_16_02_54__吃香蕉.m3u8
42,https://5721004.xyz/bu/3.08/sample/jinricp_03_08_2024_16_02_55.m3u8
