👖阿烈壁纸,#genre# 
润,https://v5.lbv325627.com/20250805/kYV2dbTa/index.m3u8







10小时,https://v5.lbv325627.com/20250812/kXOYEr5c/index.m3u8




央视,#genre#
CCTV1-综合,http://1857416894.xionguamaqui.com:9901/tsfile/live/0001_1.m3u8
CCTV2-财经,http://1857416894.xionguamaqui.com:9901/tsfile/live/0002_1.m3u8
CCTV3-综艺,http://1857416894.xionguamaqui.com:9901/tsfile/live/0003_1.m3u8
CCTV4-国际,http://1857416894.xionguamaqui.com:9901/tsfile/live/0004_1.m3u8
CCTV5-体育,http://1857416894.xionguamaqui.com:9901/tsfile/live/0005_1.m3u8
CCTV6-电影,http://1857416894.xionguamaqui.com:9901/tsfile/live/0006_1.m3u8
CCTV7-军农,http://1857416894.xionguamaqui.com:9901/tsfile/live/0007_1.m3u8
CCTV8-电视剧,http://1857416894.xionguamaqui.com:9901/tsfile/live/0008_1.m3u8
CCTV9HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0009_1.m3u8
CCTV10HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0010_1.m3u8
CCTV11HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0011_1.m3u8
CCTV12HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0012_1.m3u8
CCTV13HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0013_1.m3u8
CCTV14HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0014_1.m3u8
CCTV15HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0015_1.m3u8
CCTV5+HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0016_1.m3u8
CETV1HD,http://1857416894.xionguamaqui.com:9901/tsfile/live/0017_1.m3u8
港澳台,#genre#
卫视中文台,http://104.233.200.52:8278/weishichinese_twn/playlist.m3u8?tid=MB7B8325601583256015&ct=19249&tsum=88f84634240050b869fbbe8cfeb43cc7
凤凰香港,http://104.233.200.52:8278/hkphoenix_twn/playlist.m3u8?tid=MD0D2495250724952507&ct=19249&tsum=b1c0a577a7f4aaa9af143d124ba24a40
凤凰资讯,http://104.233.200.52:8278/phoenixinfo_hd/playlist.m3u8?tid=MB5B7253262872532628&ct=19249&tsum=e2b2dcd00f39adb64b6c03601da1e0e0
凤凰香港,http://104.233.200.52:8278/hkphoenix_twn/playlist.m3u8?tid=MD0D2495250724952507&ct=19249&tsum=b1c0a577a7f4aaa9af143d124ba24a40
凤凰资讯,http://104.233.200.52:8278/phoenixinfo_hd/playlist.m3u8?tid=MB5B7253262872532628&ct=19249&tsum=e2b2dcd00f39adb64b6c03601da1e0e0
凤凰卫视,http://104.233.200.52:8278/phoenixtv_hd/playlist.m3u8?tid=m18f421b0e58b&ct=18336&tsum=8e0cca627477cbd534c9cef5e2c17c1c 
凤凰资讯,http://104.233.200.52:8278/phoenixinfo_hd/playlist.m3u8?tid=m7f4a830029be&ct=18336&tsum=74f57bddc0725f74838380086dce3e44 
凤凰香港,http://104.233.200.52:8278/hkphoenix_twn/playlist.m3u8?tid=m5bd7047b492a&ct=18336&tsum=2c3b7b7f9cee713c07f561b51a9e2768 
凤凰香港台,http://104.233.200.52:8278/hkphoenix_twn/playlist.m3u8?tid=MACA2858291128582911&ct=19225&tsum=0f01288bbaa6c0403d07e96b0a5db4ed 
卫视中文台,http://104.233.200.52:8278/weishichinese_twn/playlist.m3u8?tid=MA8A7894022878940228&ct=19226&tsum=c0323ce59263e0096d4181626874e17c
非凡新闻台,http://104.233.200.52:8278/feifannews_twn/playlist.m3u8?tid=MFDF6578546865785468&ct=19249&tsum=bbb5f2ee12e8ae89846875a83db08997
民视新闻台 ,http://104.233.200.52:8278/ftvnew_taiwan/playlist.m3u8?tid=MA7A6968320369683203&ct=19249&tsum=e3b040434ed43f12a738964a100a0e59
台视,http://104.233.200.52:8278/ttv_taiwan/playlist.m3u8?tid=MDCD7498841774988417&ct=19226&tsum=205fa69ca9e6c04cfa0ed0b301647d1e
卫视中文台,http://104.233.200.52:8278/weishichinese_twn/playlist.m3u8?tid=MB7B8325601583256015&ct=19249&tsum=88f84634240050b869fbbe8cfeb43cc7
华视 CTS HD,http://104.233.200.52:8278/ctshd_twn/playlist.m3u8?tid=MC3C3582911835829118&ct=19249&tsum=f2c0c86801d43be647206c4ddb8e9ce6
公视 CTV,http://104.233.200.52:8278/ctv_taiwan/playlist.m3u8?tid=MDCD6096520560965205&ct=19249&tsum=64237c7ffa0c00b62657a938247bcab0
中视新闻台,http://104.233.200.52:8278/zhongshinews_twn/playlist.m3u8?tid=MD0D3377711133777111&ct=19249&tsum=ffaee3fe7040c96643b3c7f12bf2de8d
中天新闻 HD,http://104.233.200.52:8278/ctinews/playlist.m3u8?tid=MB0B9546410395464103&ct=19249&tsum=30c62d7eec5ce9a49a64c3fa3ff8a8b7
东森新闻,http://104.233.200.52:8278/ettvnews/playlist.m3u8?tid=MC4C3328955833289558&ct=19249&tsum=d68431432600bbf503d95f629f3acc11
TVBS 新闻台,http://104.233.200.52:8278/tvbs_n/playlist.m3u8?tid=MA4A2233260122332601&ct=19249&tsum=513a9dcb42fa8b98e1792d513dd3e2ee
TVBS HD,http://104.233.200.52:8278/tvbs/playlist.m3u8?tid=MEFE3093330530933305&ct=19249&tsum=ce6b5e9293b3618104ad53084745a223
